entity_type,layer,center_x,center_y,radius,start_angle,end_angle,vertices,vertex_count,closed,start_x,start_y,start_z,end_x,end_y,end_z,text,insert_x,insert_y
INSERT,ASHADE,,,,,,,,,,,,,,,,,
INSERT,ASHADE,,,,,,,,,,,,,,,,,
INSERT,ASHADE,,,,,,,,,,,,,,,,,
INSERT,ASHADE,,,,,,,,,,,,,,,,,
INSERT,ASHADE,,,,,,,,,,,,,,,,,
INSERT,ASHADE,,,,,,,,,,,,,,,,,
CIRCLE,MOBILIARIO,-3.032,281.623,0.175,,,,,,,,,,,,,,
CIRCLE,MOBILIARIO,-3.6247,281.623,0.175,,,,,,,,,,,,,,
ARC,MOBILIARIO,-3.032,281.623,0.25,213.1095,326.8905,,,,,,,,,,,,
ARC,MOBILIARIO,-3.6247,281.623,0.25,213.1095,326.8905,,,,,,,,,,,,
ARC,MOBILIARIO,-4.2925,281.623,0.25,213.1095,326.8905,,,,,,,,,,,,
CIRCLE,MOBILIARIO,-4.2925,281.623,0.175,,,,,,,,,,,,,,
INSERT,MOBILIARIO,,,,,,,,,,,,,,,,,
LWPOLYLINE,MURO,,,,,,"[[3.6123, 284.2497], [7.6815, 284.2005], [7.7124, 281.2007], [1.7124, 281.2007], [1.7124, 278.4007], [0.9624, 278.4007], [0.9624, 278.5507], [1.5624, 278.5507], [1.5624, 281.3507], [7.5609, 281.3507], [7.5331, 284.0523], [1.7124, 284.1226], [1.7124, 282.4007], [2.7623, 282.4007], [2.7623, 282.2507], [1.5624, 282.2507], [1.5624, 284.1226], [-4.5976, 284.1989], [-4.5976, 278.5507], [-3.9985, 278.5507], [-3.9985, 278.4007], [-4.7476, 278.4007], [-4.7476, 284.3507]]",23.0,True,,,,,,,,,
LWPOLYLINE,OTROS,,,,,,"[[-0.0933, 282.7772], [0.0562, 283.6899], [-0.1828, 283.7489], [0.2694, 283.7019], [0.0673, 283.7575], [0.226, 284.7266]]",6.0,False,,,,,,,,,
LINE,SANITARIOS,,,,,,,,,1.7124,283.2226,0.0,2.2124,283.2226,0.0,,,
LINE,SANITARIOS,,,,,,,,,2.5624,283.6434,0.0,2.1917,283.2726,0.0,,,
LINE,SANITARIOS,,,,,,,,,2.6124,283.6226,0.0,2.2124,283.2226,0.0,,,
LINE,SANITARIOS,,,,,,,,,1.9405,283.8946,0.0,2.3417,283.4934,0.0,,,
LINE,SANITARIOS,,,,,,,,,1.8374,283.2726,0.0,2.1917,283.2726,0.0,,,
ARC,SANITARIOS,1.8374,283.3476,0.075,180.0,270.0,,,,,,,,,,,,
LINE,SANITARIOS,,,,,,,,,1.8874,283.8726,0.0,1.8874,283.3726,0.0,,,
LINE,SANITARIOS,,,,,,,,,1.7624,283.9976,0.0,1.7624,283.3476,0.0,,,
LINE,SANITARIOS,,,,,,,,,1.9624,283.9476,0.0,2.4624,283.9476,0.0,,,
LINE,SANITARIOS,,,,,,,,,1.8374,284.0726,0.0,2.4874,284.0726,0.0,,,
CIRCLE,SANITARIOS,1.8874,283.9476,0.025,,,,,,,,,,,,,,
ARC,SANITARIOS,1.8374,283.9976,0.075,90.0,180.0,,,,,,,,,,,,
LINE,SANITARIOS,,,,,,,,,2.5624,283.9976,0.0,2.5624,283.6434,0.0,,,
ARC,SANITARIOS,2.4874,283.9976,0.075,0.0,90.0,,,,,,,,,,,,
LINE,SANITARIOS,,,,,,,,,2.6124,283.6226,0.0,2.6124,284.1118,0.0,,,
CIRCLE,MOBILIARIO,-2.4393,281.623,0.175,,,,,,,,,,,,,,
ARC,MOBILIARIO,-2.4393,281.623,0.25,213.1095,326.8905,,,,,,,,,,,,
CIRCLE,MOBILIARIO,-1.8466,281.623,0.175,,,,,,,,,,,,,,
ARC,MOBILIARIO,-1.8466,281.623,0.25,213.1095,326.8905,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,BARANDA MADERA h= 0.90 m.,-3.5511,277.1378
INSERT,PUERTAS,,,,,,,,,,,,,,,,,
INSERT,PUERTAS,,,,,,,,,,,,,,,,,
LWPOLYLINE,PROYECCION,,,,,,"[[3.6123, 282.4007], [4.6622, 282.4007], [4.6622, 284.087], [3.6123, 284.0997]]",4.0,True,,,,,,,,,
LINE,PROYECCION,,,,,,,,,3.6123,282.4007,0.0,4.6622,284.087,0.0,,,
LINE,PROYECCION,,,,,,,,,4.6622,282.4007,0.0,3.6123,284.0997,0.0,,,
LWPOLYLINE,MURO,,,,,,"[[3.6123, 283.1015], [3.4623, 283.1015], [3.4623, 282.2507], [3.6123, 282.2507]]",4.0,True,,,,,,,,,
LWPOLYLINE,MURO,,,,,,"[[4.6622, 282.2507], [4.8122, 282.2507], [4.8122, 282.787], [4.6622, 282.787]]",4.0,True,,,,,,,,,
INSERT,PUERTAS,,,,,,,,,,,,,,,,,
LWPOLYLINE,MURO BAJO.,,,,,,"[[-4.5976, 278.4007], [-4.5976, 277.0507], [-2.118, 277.0507], [-2.118, 276.9007], [-4.7476, 276.9007], [-4.7476, 278.4007], [-4.5976, 278.4007]]",7.0,False,,,,,,,,,
