entity_type,layer,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle,text,insert_x,insert_y
LINE,Muros,24.5169,31.367,0.0,24.5169,31.477,0.0,,,,,,,,,,,
LINE,Muros,23.9318,35.317,0.0,34.4018,35.317,0.0,,,,,,,,,,,
LINE,Muros,34.0018,34.917,0.0,34.0018,17.0991,0.0,,,,,,,,,,,
LINE,Muros,23.9318,17.0991,0.0,23.9318,35.317,0.0,,,,,,,,,,,
LINE,Muros,24.3318,34.917,0.0,34.0418,34.917,0.0,,,,,,,,,,,
LINE,Muros,34.4018,35.317,0.0,34.4018,17.0991,0.0,,,,,,,,,,,
LINE,Medianeras,34.7995,17.0991,0.0,23.6906,17.0991,0.0,,,,,,,,,,,
LINE,Muros,25.7718,31.587,0.0,27.5718,31.587,0.0,,,,,,,,,,,
LINE,Muros,24.1318,31.587,0.0,24.1318,23.827,0.0,,,,,,,,,,,
LINE,Muros,25.7718,31.587,0.0,25.7718,31.367,0.0,,,,,,,,,,,
LINE,Muros,24.1318,23.827,0.0,24.3718,23.827,0.0,,,,,,,,,,,
HATCH,Muebles objetos y demas,,,,,,,,,,,,,,,,,
LINE,Muros,24.3518,24.047,0.0,24.3518,27.647,0.0,,,,,,,,,,,
LINE,Muros,24.3518,28.367,0.0,24.3518,31.367,0.0,,,,,,,,,,,
LINE,Muros,24.3718,24.047,0.0,24.3718,23.827,0.0,,,,,,,,,,,
LINE,Ventanas,24.5169,31.367,0.0,25.7718,31.367,0.0,,,,,,,,,,,
LINE,Muros,24.3318,34.917,0.0,24.3318,31.587,0.0,,,,,,,,,,,
LINE,Muros,24.3318,17.0991,0.0,24.3318,23.827,0.0,,,,,,,,,,,
LINE,Ventanas,24.4218,24.047,0.0,25.7522,24.047,0.0,,,,,,,,,,,
LINE,Muros,25.8022,24.047,0.0,25.8022,23.827,0.0,,,,,,,,,,,
LINE,Ventanas,25.8022,23.827,0.0,24.3718,23.827,0.0,,,,,,,,,,,
LINE,Muros,27.3518,24.047,0.0,25.8022,24.047,0.0,,,,,,,,,,,
LINE,Muros,25.8022,23.827,0.0,27.3118,23.827,0.0,,,,,,,,,,,
LINE,Muros,27.3518,24.047,0.0,27.3518,26.8013,0.0,,,,,,,,,,,
HATCH,Muros,,,,,,,,,,,,,,,,,
LINE,Muros,24.3518,27.767,0.0,27.3518,27.767,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,24.3518,28.367,0.0,27.3518,28.367,0.0,,,,,,,,,,,
LINE,Muros,27.3518,27.6013,0.0,27.3518,27.647,0.0,,,,,,,,,,,
LINE,Muros,27.3518,27.767,0.0,27.3518,28.4593,0.0,,,,,,,,,,,
LINE,Muros,27.3518,31.367,0.0,27.3518,29.1971,0.0,,,,,,,,,,,
LINE,Muros,25.7718,31.367,0.0,27.3518,31.367,0.0,,,,,,,,,,,
LINE,Muros,27.3518,28.4593,0.0,27.5518,28.4593,0.0,,,,,,,,,,,
LINE,0,27.3518,27.767,0.0,27.3518,27.767,0.0,,,,,,,,,,,
LINE,Muros,27.3518,27.6013,0.0,27.5518,27.6013,0.0,,,,,,,,,,,
LINE,Muros,27.5518,27.6013,0.0,27.5518,28.4593,0.0,,,,,,,,,,,
LINE,Muros,27.3518,29.1971,0.0,27.5718,29.1971,0.0,,,,,,,,,,,
LINE,Muros,27.5718,29.1971,0.0,27.5718,31.587,0.0,,,,,,,,,,,
LINE,Muros,24.3518,27.647,0.0,26.3518,27.647,0.0,,,,,,,,,,,
LINE,Muros,26.4718,27.647,0.0,27.3518,27.647,0.0,,,,,,,,,,,
LINE,Muros,27.3518,26.8013,0.0,27.5518,26.8013,0.0,,,,,,,,,,,
LINE,Muros,27.5518,26.8013,0.0,27.5518,23.827,0.0,,,,,,,,,,,
LINE,Ventanas,24.5518,24.047,0.0,24.5518,24.047,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,24.3518,27.047,0.0,26.3518,27.047,0.0,,,,,,,,,,,
LINE,Muros,26.3518,27.047,0.0,26.3518,27.647,0.0,,,,,,,,,,,
LINE,Muros,26.3518,27.047,0.0,26.4718,27.047,0.0,,,,,,,,,,,
LINE,Muros,26.4718,27.047,0.0,26.4718,27.647,0.0,,,,,,,,,,,
LINE,Muros,24.3518,28.367,0.0,24.3518,27.767,0.0,,,,,,,,,,,
LINE,Muros,28.3718,29.1371,0.0,29.1718,29.1371,0.0,,,,,,,,,,,
LINE,Muros,29.2918,29.1371,0.0,31.0718,29.1371,0.0,,,,,,,,,,,
LINE,Muros,28.3718,29.1371,0.0,28.3718,29.3571,0.0,,,,,,,,,,,
LINE,Muros,28.3718,29.3571,0.0,31.2918,29.3571,0.0,,,,,,,,,,,
LINE,Muros,31.2918,29.3571,0.0,31.2918,29.1171,0.0,,,,,,,,,,,
LINE,Muros,31.2918,29.1171,0.0,31.0718,29.1171,0.0,,,,,,,,,,,
LINE,Muros,31.0718,29.1371,0.0,31.0718,29.1171,0.0,,,,,,,,,,,
LINE,0,28.4718,27.8371,0.0,29.1718,27.8371,0.0,,,,,,,,,,,
LINE,Defpoints,29.2918,27.8371,0.0,31.0718,27.8371,0.0,,,,,,,,,,,
LINE,Muros,28.3518,28.275,0.0,28.3518,27.8371,0.0,,,,,,,,,,,
LINE,Muros,28.3518,28.275,0.0,28.4718,28.275,0.0,,,,,,,,,,,
LINE,Muros,28.4718,28.275,0.0,28.4718,27.8371,0.0,,,,,,,,,,,
LINE,Muros,28.3518,27.8371,0.0,28.3518,26.6813,0.0,,,,,,,,,,,
LINE,Muros,28.3518,26.6813,0.0,28.4718,26.6813,0.0,,,,,,,,,,,
LINE,Muros,28.4718,26.6813,0.0,28.4718,27.6371,0.0,,,,,,,,,,,
LINE,Muros,28.4718,27.8371,0.0,29.1718,27.8371,0.0,,,,,,,,,,,
LINE,Muros,29.2918,27.8371,0.0,31.0718,27.8371,0.0,,,,,,,,,,,
LINE,Muros,31.0718,27.6371,0.0,28.4718,27.6371,0.0,,,,,,,,,,,
LINE,Muros,31.0718,27.8371,0.0,31.0718,28.6171,0.0,,,,,,,,,,,
LINE,Ventanas,31.2918,29.1171,0.0,31.2918,28.6171,0.0,,,,,,,,,,,
LINE,Muros,31.2918,26.7871,0.0,31.2918,28.6171,0.0,,,,,,,,,,,
LINE,Muros,30.2718,25.4191,0.0,30.2718,26.2171,0.0,,,,,,,,,,,
LINE,Muros,30.2718,26.2171,0.0,30.3918,26.2171,0.0,,,,,,,,,,,
LINE,Muros,31.0718,25.5371,0.0,30.3918,25.5371,0.0,,,,,,,,,,,
LINE,Muros,30.3918,25.5371,0.0,30.3918,26.2171,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,30.2718,25.538,0.0,28.4718,25.538,0.0,,,,,,,,,,,
LINE,Muros,28.4718,25.538,0.0,28.4718,25.8111,0.0,,,,,,,,,,,
LINE,Muros,28.3518,25.8111,0.0,28.3518,25.538,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,28.4718,25.8111,0.0,30.2718,25.8111,0.0,,,,,,,,,,,
LINE,Muros,31.2918,28.6171,0.0,31.0718,28.6171,0.0,,,,,,,,,,,
LINE,Muros,29.1718,28.3197,0.0,29.1718,27.8371,0.0,,,,,,,,,,,
LINE,Muros,29.2918,28.3197,0.0,29.2918,27.8371,0.0,,,,,,,,,,,
LINE,Muebles objetos y demas,28.4718,28.275,0.0,29.1718,28.275,0.0,,,,,,,,,,,
LINE,Muros,29.1718,28.3197,0.0,29.2918,28.3197,0.0,,,,,,,,,,,
LINE,Muros,29.1718,29.1371,0.0,29.1718,29.1171,0.0,,,,,,,,,,,
LINE,Muros,29.1718,29.1171,0.0,29.2918,29.1171,0.0,,,,,,,,,,,
LINE,Muros,29.2918,29.1171,0.0,29.2918,29.1371,0.0,,,,,,,,,,,
CIRCLE,Muebles objetos y demas,,,,,,,28.9724,28.0689,0.1393,,,,,,,,
LINE,Muros,31.0718,26.7871,0.0,31.2918,26.7871,0.0,,,,,,,,,,,
LINE,Muros,31.0718,27.6371,0.0,31.0718,26.7871,0.0,,,,,,,,,,,
LINE,Ventanas,31.0718,26.7871,0.0,31.0718,26.2871,0.0,,,,,,,,,,,
LINE,Muros,31.0718,26.2871,0.0,31.2918,26.2871,0.0,,,,,,,,,,,
LINE,Muros,31.0718,25.5371,0.0,31.0718,26.2871,0.0,,,,,,,,,,,
LINE,Muros,30.2718,25.4191,0.0,31.0718,25.4191,0.0,,,,,,,,,,,
LINE,Muros,31.0718,25.4191,0.0,31.0718,25.3491,0.0,,,,,,,,,,,
LINE,Ventanas,31.2918,25.3511,0.0,31.2918,23.8991,0.0,,,,,,,,,,,
LINE,Muros,31.2918,23.8991,0.0,31.0718,23.8991,0.0,,,,,,,,,,,
LINE,Ventanas,31.0718,23.8991,0.0,31.0718,25.3491,0.0,,,,,,,,,,,
LINE,Muros,31.0718,23.8991,0.0,31.0718,19.8191,0.0,,,,,,,,,,,
LINE,Muros,31.2918,23.8991,0.0,31.2918,19.8191,0.0,,,,,,,,,,,
LINE,Muros,31.2918,19.8191,0.0,31.2918,19.5991,0.0,,,,,,,,,,,
LINE,Muros,31.0718,19.8191,0.0,29.2718,19.8191,0.0,,,,,,,,,,,
LINE,Muros,27.5518,23.827,0.0,27.5518,23.427,0.0,,,,,,,,,,,
LINE,Muros,27.5518,23.427,0.0,27.3118,23.427,0.0,,,,,,,,,,,
LINE,Muros,27.3118,23.427,0.0,27.3118,23.827,0.0,,,,,,,,,,,
LINE,Muros,27.3118,22.527,0.0,27.5518,22.527,0.0,,,,,,,,,,,
LINE,Muros,27.3118,22.527,0.0,27.3118,20.8918,0.0,,,,,,,,,,,
LINE,Muros,31.2918,19.5991,0.0,29.2718,19.5991,0.0,,,,,,,,,,,
LINE,Muros,29.2718,19.5991,0.0,29.2718,19.8191,0.0,,,,,,,,,,,
LINE,Muros,27.5518,22.527,0.0,27.5518,20.8918,0.0,,,,,,,,,,,
LINE,Ventanas,29.2718,19.5991,0.0,27.3118,19.5991,0.0,,,,,,,,,,,
