entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,vertices,vertex_count,closed,center_x,center_y,radius,start_angle,end_angle
MTEXT,PARABOLAS,,-5.1007,18.9892,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,C.7-8 ESTUFA,-29.4232,-44.8417,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,C-5 TOMAS 1ºPISO,-29.7178,-44.1954,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,C.3-LUCES,-29.2021,-43.6337,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,C.1-LUCES,-29.2241,-43.1004,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"TOMA DOBLE INCRUSTAR CON POLO A TIERRA, CABLE Cu 10 TW",-33.5561,-40.8177,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,TOMA TRIPOLAR BIFASICO PARA ESTUFA O CUARTO FRIO,-33.5561,-41.8977,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"INTERRUPTOR TRIPLE 3 COMANDOS INCRUSTAR, CABLE Cu 14 TW",-33.5561,-40.4577,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"INTERRUPTOR DOBLE 2 COMANDOS INCRUSTAR, CABLE Cu 14 TW",-33.5561,-40.0977,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"INTERRUPTOR SENCILLO DE 1 POLO INCRUSTAR, CABLE Cu 14 TW",-33.5561,-39.7377,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"INTERRUPTOR CONMUTABLE DE 1 POLO INCRUSTAR, CABLE Cu 14 TW",-33.5561,-39.3777,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"LAMPARA FLUORESCENTE COMERCIAL DE 2x20W,110V (PARA CALCULOS SE TOMA LA DE 64W)",-33.5561,-39.0177,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"LAMPARA FLUORESCENTE CON PANTALLA REFLECTORA 2xT32W DE 64W C/u,110V",-33.5561,-38.6577,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"LAMPARA FLUORESCENTE CON PANTALLA REFLECTORA 4xT32W DE 128W,110V",-33.5561,-38.2977,,,,,,,,,,,,,,
TEXT,TITULOS,CALCULO  ACOMETIDA Y PROTECCION GENERAL,-34.6529,-34.0321,,,,,,,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-28.7401,-35.6428,0.0,-28.2889,-35.6428,0.0,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,TOTAL     8252 W,-29.2986,-35.6457,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,TOMA TRIFILAR INSTALADO PARA ESTUFA        2300 W x 50% = 1150 W.,-34.6383,-35.1727,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,4500 W x 30% = 1350 W.,-30.0484,-34.6399,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,3252 W x 100% = 3252 W.,-30.0554,-34.3553,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,2x30 A,-28.9493,-33.0146,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,2x20 A,-28.9493,-32.6146,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,30 A,-28.8612,-32.2146,,,,,,,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-34.615,-33.1573,0.0,-24.4806,-33.1573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-34.615,-33.5573,0.0,-24.4806,-33.5573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-34.615,-32.7573,0.0,-24.4806,-32.7573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-28.034,0.0,-24.4806,-28.034,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-28.7573,0.0,-24.4806,-28.7573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-29.1573,0.0,-24.4806,-29.1573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-29.9573,0.0,-24.4806,-29.9573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-30.7573,0.0,-24.4806,-30.7573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-31.5573,0.0,-24.4806,-31.5573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-31.9573,0.0,-24.4806,-31.9573,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-30.2616,-32.3573,0.0,-24.4806,-32.3573,0.0,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,15 A,-28.8684,-31.2092,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,15 A,-28.8684,-30.4084,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,15 A,-28.8684,-29.6077,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,30 A,-28.8612,-31.8146,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,15 A,-28.8684,-29.0146,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,PROTECCION,-29.205,-28.5935,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,BREAKER,-29.0564,-28.3416,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,TOMA TRIFILAR INSTALADO PARA CUARTO FRIO   2500 W x 100% = 2500 W.,-34.6383,-34.9171,,,,,,,,,,,,,,
TEXT,CARGAS-DIAGRAMA-CONVENC,"ACOMETIDA EN CABLE Cu AWG 6, THW TRIFILAR 2 FASES 1 NEUTRO",-34.6383,-36.4898,,,,,,,,,,,,,,
LINE,TUBERIA-TV,,,,-37.1501,-36.2025,0.0,-37.1501,-41.2924,0.0,,,,,,,,
LINE,CABLES,,,,-40.2119,-37.0214,0.0,-40.3882,-37.1015,0.0,,,,,,,,
LINE,TUBERIA,,,,-41.5702,-35.6994,0.0,-41.5702,-37.9114,0.0,,,,,,,,
LINE,TUBERIA,,,,-40.3001,-35.7006,0.0,-40.3001,-38.8316,0.0,,,,,,,,
LINE,TUBERIA-PISO,,,,-36.7514,-37.8857,0.0,-36.6761,-36.3745,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-38.1734,-36.917,0.0,-38.1734,-37.2389,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-38.0776,-36.917,0.0,-38.0776,-37.2389,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-38.1263,-36.917,0.0,-38.1263,-37.2389,0.0,,,,,,,,
LWPOLYLINE,ELEMENTOS-ELEC,,,,,,,,,,"[[-38.2263, -37.2389], [-38.2263, -36.2389], [-38.0263, -36.2389], [-38.0263, -37.2389]]",4.0,True,,,,,
ARC,COMANDO-SUICHE,,,,,,,,,,,,,-48.3057,-38.2148,5.2159,160.9005,198.2828
LINE,TUBERIA-TV,,,,-47.7049,-41.503,0.0,-47.7049,-36.3049,0.0,,,,,,,,
LINE,TUBERIA-PISO,,,,-47.0661,-37.8013,0.0,-46.995,-36.3745,0.0,,,,,,,,
LINE,TUBERIA,,,,-48.1253,-36.7389,0.0,-48.1269,-38.4828,0.0,,,,,,,,
LINE,TUBERIA,,,,-52.5441,-37.4705,0.0,-52.5441,-35.8382,0.0,,,,,,,,
LINE,TUBERIA,,,,-53.2439,-36.5069,0.0,-53.2442,-39.8529,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-48.4452,-36.917,0.0,-48.4452,-37.2389,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-48.3966,-36.917,0.0,-48.3966,-37.2389,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-48.4923,-36.917,0.0,-48.4923,-37.2389,0.0,,,,,,,,
LWPOLYLINE,ELEMENTOS-ELEC,,,,,,,,,,"[[-48.5452, -37.2389], [-48.5452, -36.2389], [-48.3452, -36.2389], [-48.3452, -37.2389]]",4.0,True,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-39.6821,-36.9033,0.0,-38.975,-37.6104,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-39.7882,-37.0094,0.0,-39.0811,-37.7165,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-36.5351,-34.0053,0.0,-36.6372,-37.6553,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-40.827,-37.6553,0.0,-40.827,-32.7537,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-40.727,-37.6553,0.0,-40.727,-32.7537,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-50.1071,-37.0094,0.0,-49.4,-37.7165,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-50.001,-36.9033,0.0,-49.2939,-37.6104,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-51.1459,-37.6537,0.0,-51.1459,-34.4264,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-51.0459,-37.6537,0.0,-51.0459,-34.4637,0.0,,,,,,,,
