entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle
MTEXT,PARABOLAS,,-5.1007,18.9892,,,,,,,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-53.1396,-1.6954,0.0,-53.1396,-2.7219,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-54.7464,-1.6954,0.0,-54.7464,-2.7219,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-58.1444,-1.6954,0.0,-58.1444,-2.2087,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-59.2322,-1.6954,0.0,-59.2322,-2.7219,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-61.6286,-1.6954,0.0,-61.6286,-2.7219,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-57.1444,-2.7219,0.0,-57.1444,-1.6954,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-55.9134,-2.7219,0.0,-55.9134,-1.6954,0.0,,,,,,,,
LINE,CARGAS-DIAGRAMA-CONVENC,,,,-62.4978,-2.7219,0.0,-62.4978,-1.6954,0.0,,,,,,,,
LINE,TUBERIA-TV,,,,-64.411,-2.0947,0.0,-64.5443,-1.8269,0.0,,,,,,,,
LINE,TUBERIA-PISO,,,,-66.6515,-1.7979,0.0,-66.6515,-2.0929,0.0,,,,,,,,
LINE,TUBERIA-PISO,,,,-65.6239,-1.8877,0.0,-65.6239,-2.3164,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-64.677,-2.0557,0.0,-64.677,-2.2852,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-64.6179,-2.0557,0.0,-64.6179,-2.2852,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-64.6475,-2.1301,0.08,,,,,
LINE,ACOMETIDAS,,,,-66.7391,-2.0914,0.0,-66.7391,-1.6457,0.0,,,,,,,,
LINE,TUBERIA-PISO,,,,-86.2666,-3.0361,0.0,-86.2666,-0.6364,0.0,,,,,,,,
LWPOLYLINE,CAJONEO,,,,,,,,,,,,,"[[-78.8768, -2.2001], [-78.5768, -2.2001], [-78.5768, -1.9001], [-78.8768, -1.9001]]",4.0,True,,
LINE,CAJONEO,,,,-77.4768,-1.9001,0.0,-77.4768,-5.6001,0.0,,,,,,,,
